accountno, parcelnb, saledt, locationaddress, locationcity, locationzipcode, subdivisionid, subdivisiondescr, nbhd, occdescr, bltasoccdesc, bltasid, residentialsf, bsmntsf, bsmntfinsf, garagesf, grossacres, yrblt, salep, value
"R1600422","9614419390","2021-08-29","7214 AVONDALE RD","FORT COLLINS","80525","18513","RIDGEWOOD HILLS PUD, THIRD FILING","19614","Single Family Residential","2 Story","8","2005","947","814","580",".16000000","2001","615469.00","455800.00"
"R1295306","8606223014","2021-08-27","1219 OAK ISLAND CT","FORT COLLINS","80525","156651","OAKRIDGE VILLAGE PUD","19613","Townhouse","Townhouse One Story","61","1547","885","685","440",".14000000","1989","495000.00","401500.00"
"R1377272","8606232004","2021-08-26","1318 SILK OAK DR","FORT COLLINS","80525","15669","OAKRIDGE VILLAGE PUD","19613","Single Family Residential","2 Story","8","2176","648","648","672",".20000000","1994","595000.00","495000.00"
"R1556681","8830208084","2021-08-26","3220 HEARTHFIRE DR","FORT COLLINS","80524","1946","HEARTHFIRE PUD","18933","Single Family Residential","2 Story","8","3094","1554","","726",".54000000","2000","954000.00","692600.00"
"R1216503","8730416025","2021-08-26","1986 MASSACHUSETTS ST","FORT COLLINS","80525","1570","TIMBERLINE VILLAGE PUD","19724","Single Family Residential","Split Level","7","1256","","","440",".16000000","1986","425000.00","323700.00"
"R0719447","8622318011","2021-08-26","4408 JULIAN CT","FORT COLLINS","80528","03972","MOUNTAIN RANGE SHADOWS","19613","Single Family Residential","Bi Level 2 Story","4","1375","","","304",".12000000","1978","321000.00","257900.00"
"R0184454","9725407114","2021-08-26","3407 CAMELOT DR","FORT COLLINS","80525","12121","VILLAGE EAST","19724","Single Family Residential","Split Level","7","1612","","","528",".19000000","1976","425000.00","380500.00"
"R1598370","9726435020","2021-08-24","3532 WARREN FARM CT","FORT COLLINS","80526","16053","WARREN FARMS THIRD FILING","19722","Single Family Residential","2 Story","8","1446","","","210",".07000000","2003","454600.00","326500.00"
"R1471228","8607123105","2021-08-23","5619 RED WILLOW CT","FORT COLLINS","80528","1855","WILLOW SPRINGS PUD","19613","Single Family Residential","2 Story","8","2847","1282","1058","808",".22000000","1996","760000.00","611000.00"
"R1354086","9703407010","2021-08-20","1255 ALAMEDA ST","FORT COLLINS","80521","136001","GRANADA HEIGHTS PUD","19829","Single Family Residential","Ranch","1","1169","","","308",".15000000","1993","400000.00","314000.00"
"R1391747","8607316001","2021-08-20","1100 CANVASBACK DR","FORT COLLINS","80525","17404","PARAGON POINT PUD","19613","Single Family Residential","Ranch","1","1690","1626","","400",".14000000","1997","490000.00","424900.00"
"R0142557","8706135009","2021-08-20","1432 ADRIEL DR","FORT COLLINS","80524","033921","ADRIEL HILLS TWO","19836","Townhouse/Condo","Townhouse Two Story","68","1388","","","252",".00000000","1975","330000.00","266300.00"
"R1599185","8605457035","2021-08-20","5244 CORBETT DR","FORT COLLINS","80528","8014","HARVEST PARK","18729","Single Family Residential","2 Story","8","2063","1014","806","420",".09000000","2002","570000.00","468900.00"
"R1614095","9612149205","2021-08-20","5620 FOSSIL CREEK PKWY 9205","FORT COLLINS","80525","804502","FOSSIL CREEK CONDOMINIUMS, SUPP No. 2","19613","Condo unit","Condo &lt;= 3 Stories","19","964","","","",".00000000","2001","285500.00","241100.00"
"R1586874","8704405201","2021-08-19","3920 RANNOCH ST","FORT COLLINS","80524","1971","WATERGLEN PUD","18933","Single Family Residential","2 Story","8","1903","","","438",".10000000","2000","440000.00","346200.00"
"R1605647","8830414243","2021-08-19","2751 CATAMARAN COVE","FORT COLLINS","80524","16551","RICHARDS LAKE PUD FILING ONE","18933","Single Family Residential","Ranch","1","1688","1688","930","668",".18000000","2017","685000.00","561000.00"
"R1197690","9721120008","2021-08-19","2519 CEDARWOOD DR","FORT COLLINS","80526","15441","FAIRBROOKE","19722","Single Family Residential","2 Story","8","1828","816","","400",".29000000","1987","551000.00","436300.00"
