,bltasid,residentialsf,bsmntsf,bsmntfinsf,garagesf,grossacres,yrblt,salep,SubDivisionCode
0,14,672,0,0,0,0.0,1970,14000,-1
1,1,1080,0,0,297,0.15,1958,370000,-1
2,1,890,0,0,280,0.42,1900,347500,-1
3,7,1636,448,0,432,0.19,1975,395000,-1
4,7,1580,0,0,480,0.22,1972,386000,-1
5,51,1460,0,0,0,0.18,1961,450000,-1
6,5,2296,0,0,768,2.0,1920,730000,-1
7,51,1830,0,0,578,0.28,1972,453000,-1
8,1,1303,1008,1008,500,0.19,1976,392000,-1
9,1,1353,840,672,456,0.19,1971,410000,-1
10,8,1920,0,0,456,0.16,1982,386000,-1
11,7,1629,0,0,484,0.54,1978,430000,-1
12,1,1064,1064,1064,0,0.23,1978,421000,-1
13,7,1184,0,0,432,0.18,1980,347500,-1
14,1,1394,1374,0,502,0.19,1986,404100,-1
15,8,2812,932,932,832,0.52,1992,650000,-1
16,5,3342,1284,600,672,0.31,1985,725000,-1
17,8,1884,546,0,462,0.14,1989,450000,-1
18,8,2311,1236,1236,483,0.14,1989,485000,-1
19,19,608,0,0,0,0.0,1985,164000,-1
20,1,980,0,0,528,0.16,1988,366150,-1
21,8,3358,1722,1722,735,0.23,1994,735000,-1
22,19,1000,0,0,0,0.0,1989,247500,-1
23,8,1809,927,0,462,0.19,1995,440000,-1
24,1,2142,2142,1626,864,0.26,1995,635000,-1
25,8,2706,1202,1202,831,0.27,1994,585000,-1
26,1,2278,2173,1065,768,2.17,1996,785000,-1
27,68,1338,639,512,220,0.04,1997,292500,-1
28,7,1380,0,0,216,0.08,1998,342000,-1
29,8,1860,924,0,818,0.19,2001,497000,-1
30,8,1481,719,536,646,0.12,2005,424900,41
31,1,3036,3036,1737,1062,0.75,2015,1420000,-1
32,68,1560,816,0,441,0.07,2002,345000,33
33,8,1070,0,0,510,0.12,2005,403500,-1
34,68,1697,859,0,480,0.0,2008,345000,-1
35,68,1539,750,0,400,0.05,2017,370000,-1
36,1,1931,1931,0,640,0.17,2019,500000,-1
37,8,2787,1280,0,687,0.13,2015,622999,-1
38,1,2180,2114,1029,714,0.19,2015,642500,-1
39,61,1884,612,0,400,0.07,2019,395000,-1
40,8,1870,0,0,693,0.28,2012,426000,-1
41,68,1612,0,0,242,0.07,2005,330000,-1
42,68,1105,604,0,180,0.03,2001,315000,-1
43,8,1379,0,0,420,0.1,2001,352000,-1
44,1,2028,1996,168,400,0.15,2005,455000,40
45,8,2100,782,782,738,0.23,1997,500000,41
46,1,1301,1263,270,506,0.15,1996,390000,-1
47,8,4020,2049,2049,3362,3.47,1989,1749000,-1
48,7,1404,0,0,418,0.12,1982,380000,49
49,7,1438,520,520,494,0.17,1973,390000,-1
50,1,1596,980,740,528,0.39,1974,535000,9
51,4,1962,0,0,300,0.14,1975,402000,-1
52,1,1026,1026,800,297,0.18,1961,435000,-1
53,5,3188,935,935,624,0.27,1979,772500,-1
54,1,864,0,0,0,0.17,1964,250000,-1
55,8,1824,0,0,288,0.25,1963,347155,-1
56,14,1056,0,0,0,0.0,1991,43317,-1
57,1,1726,0,0,700,0.35,1954,340000,-1
58,1,888,888,888,480,0.15,1956,390000,-1
59,1,1347,1014,1014,400,0.24,1978,431500,-1
60,4,1532,0,0,528,0.18,1977,390000,-1
61,19,864,0,0,0,0.0,1981,215000,-1
62,68,1074,0,0,0,0.02,1985,255000,14
63,19,848,0,0,0,0.0,1984,221000,-1
64,8,1736,923,923,724,0.19,1995,455000,47
65,68,1132,594,0,200,0.03,1996,276000,-1
