,accountno,parcelnb,saledt,locationaddress,locationcity,locationzipcode,subdivisionid,subdivisiondescr,nbhd,occdescr,bltasoccdesc,bltasid,residentialsf,bsmntsf,bsmntfinsf,garagesf,grossacres,yrblt,salep,value
0,M0927775,9702100021,2020-07-31,1601 N COLLEGE AVE 65,FORT COLLINS,80524,,,MH2,MH In Park,Single Wide,14,672,,,,.00000000,1970,14000.00,4700.00
1,R0076678,9715207002,2020-07-31,1804 CRESTMORE PL,FORT COLLINS,80521,11203,MILLER BROTHERS,19715,Single Family Residential,Ranch,1,1080,,,297,.15000000,1958,370000.00,352500.00
2,R0147648,9709300018,2020-07-31,2530 W MULBERRY ST,FORT COLLINS,80521,/090769,S9 T07 R69,19715,Single Family Residential,Ranch,1,890,,,280,.42000000,1900,347500.00,259100.00
3,R0135194,9726210081,2020-07-31,707 WINCHESTER DR,FORT COLLINS,80526,12302,WOODWEST,19722,Single Family Residential,Split Level,7,1636,448,,432,.19000000,1975,395000.00,370600.00
4,R0095451,9716412002,2020-07-31,1209 BRIARWOOD RD,FORT COLLINS,80521,1219,WEST LAKE STREET,19715,Single Family Residential,Split Level,7,1580,,,480,.22000000,1972,386000.00,377200.00
5,R0080063,9715305087,2020-07-31,1920 CLEARVIEW AVE,FORT COLLINS,80521,11233,MILLER BROTHERS FOOTHILLS,19715,Duplex -side by side,Duplex One Story,51,1460,,,,.18000000,1961,450000.00,354000.00
6,R0203599,9733400019,2020-07-31,2225 W COUNTY ROAD 38E,FORT COLLINS,80526,/330769,S33 T07 R69,19734,Single Family Residential,1? Story Fin,5,2296,,,768,2.00000000,1920,730000.00,490700.00
7,R0193208,8716208002,2020-07-31,709 DAWN AVE,FORT COLLINS,80524,01955,SUNRISE ACRES,18933,Duplex -side by side,Duplex One Story,51,1830,,,578,.28000000,1972,453000.00,400500.00
8,R0180726,9721410002,2020-07-31,2407 MERINO CT,FORT COLLINS,80526,10132,BROWN FARM,19722,Single Family Residential,Ranch,1,1303,1008,1008,500,.19000000,1976,392000.00,399500.00
9,R0165204,8730105020,2020-07-31,1612 LAKESHORE DR,FORT COLLINS,80525,10961,LAKE SHERWOOD,19724,Single Family Residential,Ranch,1,1353,840,672,456,.19000000,1971,410000.00,416600.00
10,R0259209,9727305112,2020-07-31,2025 DERBY CT,FORT COLLINS,80526,1348,ROSSBOROUGH,19722,Single Family Residential,2 Story,8,1920,,,456,.16000000,1982,386000.00,372800.00
